Hypergraph	Category	node_Pearson	node_Spearman	edge_Pearson	edge_Spearman	node_Kendall	bi_Pearson	bi_Spearman	bi_Kendall	edge_Kendall
ABCD_seed_0_he	ABCD-h	0.001096304	0.021669915	-2.81E-05	0.120786621	0.088304927	0.000303806	0.000408893	0.000289599	0.088304927
ABCD_seed_1_he	ABCD-h	0.000385057	0.025449142	-0.000713446	0.120003893	0.087638819	-3.55258E-06	-0.000190655	-0.00013537	0.087638819
ABCD_seed_123_big_he	ABCD-h	0.000180094	0.024561298	-6.24E-06	0.121081642	0.088424389	0.000182813	3.78E-05	2.68E-05	0.088424389
ABCD_seed_123_he	ABCD-h	0.000681635	0.024668106	0.00115086	0.124871656	0.091203499	0.000461323	0.000551523	0.000391094	0.091203499
ABCD_seed_123456789_he	ABCD-h	0.002592229	0.02887951	0.001106414	0.124043244	0.090543242	0.000897467	0.001341057	0.000950824	0.090543242
ABCD_seed_42_he	ABCD-h	0.000702058	0.02418866	0.001091915	0.121316685	0.08854456	0.000351093	0.000531584	0.000376945	0.08854456
ABCD_seed_42_small_he	ABCD-h	-0.009065072	0.01356604	-0.002374134	0.119730688	0.087221718	-0.002965454	-0.004449309	-0.003156605	0.087221718
ABCD_seed_55_he	ABCD-h	0.001988148	0.027554825	0.000138584	0.119770074	0.087535301	0.001240379	0.000536865	0.000380686	0.087535301
ABCD-h_seed_1234_od_Bogumila	ABCD-h	0.00110687	0.109019489	0.005836457	0.114375994	0.0863267	-0.001637437	0.004770715	0.00368326	0.0863267
ABCD-h_seed_1235	ABCD-h	-0.00122962	0.018508692	4.43E-06	0.121248895	0.08872934	0.000449881	-0.000485468	-0.000344249	0.08872934
algebra	user-answer	-0.0802361	0.165900033	-0.103941065	0.010113429	-0.00255953	-0.096785383	-0.112011025	-0.077644688	-0.00255953
amazon	product-category	0.031970334	0.003547017	0.13470305	0.18463834	0.175081292	0.044446207	0.041255763	0.040236265	0.175081292
contact-high-school	physical contact	0.749567384	0.766373812	0.227544563	0.241944774	0.195783929	0.180093423	0.189096787	0.152433411	0.195783929
contact-primary-school	physical contact	0.571870625	0.559468102	0.114141229	0.10469405	0.084608254	0.088749059	0.083944286	0.067531669	0.084608254
dblp	Part-whole	-0.023034945	0.02625064	0.057057519	0.216164794	0.165772245	-0.022485457	0.012573225	0.010756879	0.165772245
diseasome	Diseases and genes	-0.184079353	-0.282860712	-0.031769936	0.038523421	0.030725895	-0.066854483	-0.186379144	-0.138370141	0.030725895
disgenenet	Diseases and genes	-0.156201104	-0.087454073	-0.066862239	0.272837871	0.171629526	-0.165757112	-0.181761411	-0.123258415	0.171629526
email-enron	email	-0.193373638	-0.189106041	0.114424894	0.236732415	0.180023615	-0.002368486	0.125159225	0.093159992	0.180023615
email-eu	email	0.051309168	0.438869905	0.04317431	0.246261441	0.182482281	-0.084344348	0.036700967	0.023835496	0.182482281
email-W3C	email	-0.007701188	0.343194615	-0.147366065	-0.161915519	-0.132576458	-0.118029777	-0.032653949	-0.029137903	-0.132576458
eventernote-places	person-place	-0.01418991	0.247707312	0.009358304	0.551902995	0.385099801	-0.097232427	-0.070959256	-0.047824099	0.385099801
geometry	user-answer	-0.110608495	-0.041652962	-0.12196016	-0.030616876	-0.036853591	-0.129484881	-0.112404368	-0.077741212	-0.036853591
got	person-place	-0.063535703	0.021068301	-0.00413344	0.08702136	0.051341079	-0.072857875	-0.140871063	-0.100280337	0.051341079
hospital-lyon	physical contact	0.892800688	0.888476267	0.473089818	0.4787274	0.389291285	0.337152451	0.342552791	0.278386236	0.389291285
house-bills	political	0.185109971	0.222355112	0.071586199	0.212222081	0.146380823	-0.030847342	0.031230398	0.019749322	0.146380823
house-committees	political	-0.013724142	-0.026534823	-0.305047094	-0.28769164	-0.190055913	-0.036488682	-0.01086864	-0.007364873	-0.190055913
Hypertext-conference	participant-conference	0.050090194	0.32075637	-0.020500226	0.013515091	0.01102191	-0.022815522	-0.01011237	-0.008346093	0.01102191
InVS13	physical contact	-0.087168499	0.238146801	-0.028403856	-0.011265845	-0.009265877	-0.030263483	-0.018997004	-0.015674551	-0.009265877
InVS15	physical contact	0.151062668	0.339667926	0.020391432	0.045012748	0.036793094	0.019540546	0.0248978	0.020396025	0.036793094
kaggle-whats-cooking	Part-whole	0.034422897	0.161999829	-0.036117813	0.044197741	0.01918252	-0.030185141	0.013830021	0.009202557	0.01918252
Malawi-village	physical contact	0.22953841	0.312461128	0.031568864	0.023162803	0.019080766	0.03397228	0.025278801	0.020826525	0.019080766
music-blues-reviews	user-review	-0.335042286	-0.440329451	0.075268207	0.29303757	0.204074995	-0.131593448	-0.22834972	-0.15928571	0.204074995
